NewID,TotalYearsGiven,TotalDonations,FirstYear,LastYear,MultiyearGiver,DecemberGivings,YearsSinceLastGift,Most_recent_year_given,Frequency_score,AverageDonationPerYear,Gender,Age,State,AgeGroup
100059206,21,9462,1996,2016,1,0.285714286,0,2016,0.663791978,450.5714286,Female,77,FL,70-79
100887937,7,8470,2010,2016,1,0.285714286,0,2016,-0.079035991,1210,Male,61,IA,60-69
100360732,9,7625,2006,2014,1,0.75,2,2014,2.653868261,953.125,Unknown,85,OR,80-89
100010564,24,6339,1993,2016,1,0.608695652,0,2016,2.592002301,275.6086957,Unknown,55,AK,50-59
100813159,8,6222,2009,2016,1,0.875,0,2016,5.447001808,777.75,Unknown,81,FL,80-89
100095546,19,5962,1998,2016,1,0.684210526,0,2016,2.74540094,313.7894737,Male,28,IA,20-29
100125389,13,5853,2001,2013,1,0.230769231,3,2013,0.801238318,450.2307692,Female,58,WA,50-59
100348802,18,5474,1999,2016,1,0.277777778,0,2016,3.631757784,304.1111111,Female,45,OH,40-49
100371814,25,5422,1991,2015,1,0.363636364,1,2015,0.703944842,492.9090909,Unknown,53,TX,50-59
101098558,4,5335,2011,2014,1,0.333333333,2,2014,0.141804757,1778.333333,Female,72,IL,70-79
100024965,23,5331.4,1994,2016,1,0.47826087,0,2016,2.023751998,231.8,Unknown,58,GA,50-59
100016404,22,4502,1993,2014,1,0.4,2,2014,0.872586867,225.1,Unknown,31,MN,30-39
101166583,5,4150,2012,2016,1,0,0,2016,-0.392228324,830,Male,80,MD,70-79
100647563,6,4130,2009,2014,1,0.666666667,2,2014,0.212072267,688.3333333,Female,47,WI,40-49
100134038,10,4075.95,2002,2011,1,0.571428571,5,2011,0.041422599,582.2785714,Unknown,45,TX,40-49
100832857,23,3815,1994,2016,1,0.25,0,2016,0.661784335,190.75,Male,47,TX,40-49
100107047,16,3545,1999,2014,1,0.3125,2,2014,0.809346108,221.5625,Female,40,TX,30-39
100438457,27,3511,1990,2016,1,0.411764706,0,2016,2.291163905,206.5294118,Male,46,FL,40-49
101367088,21,3496,1996,2016,1,0.3,0,2016,3.317896237,349.6,Male,32,FL,30-39
100144233,15,3459,2002,2016,1,0.133333333,0,2016,0.816372859,230.6,Male,41,NA,40-49
100107366,22,3430,1995,2016,1,0.125,0,2016,-0.086564653,214.375,Unknown,74,OH,70-79
100490317,9,3261,2008,2016,1,0.625,0,2016,3.918683452,407.625,Male,58,AK,50-59
100645699,9,3251,2008,2016,1,0.444444444,0,2016,2.156140061,361.2222222,Unknown,59,KY,50-59
100233139,30,3248,1986,2015,1,0.185185185,1,2015,1.203624917,120.2962963,Female,42,WA,40-49
100157169,25,3175.4,1989,2013,1,0.227272727,3,2013,0.167356579,144.3363636,Male,59,KS,50-59
100071048,20,3120,1997,2016,1,0.2,0,2016,0.198018765,312,Male,40,CA,30-39
