n,totalMoney,date
1165,759350.78,1/1/84
1013,179421.24,2/1/84
920,451789.5,3/1/84
1101,214467.2,4/1/84
755,508978.3,5/1/84
1078,220642.5,6/1/84
624,103069.33,7/1/84
123,109811,8/1/84
918,230506.8,9/1/84
1172,727146.7,10/1/84
807,646215.5,11/1/84
925,622889.71,12/1/84
1225,134356.6,1/1/85
1287,147621.3,2/1/85
1376,565097.97,3/1/85
1380,119976.25,4/1/85
1600,754550.12,5/1/85
1106,377211.04,6/1/85
1106,175111.94,7/1/85
792,110066.5,8/1/85
849,25730.74,9/1/85
1100,727109.74,10/1/85
221,186223.22,11/1/85
1397,1020882.44,12/1/85
312,67712.53,1/1/86
324,1211721.5,2/1/86
2729,152590.84,3/1/86
1453,816962.62,4/1/86
343,83361,5/1/86
2589,223404.76,6/1/86
990,1038034.35,7/1/86
1036,857123.5,8/1/86
648,264670.55,9/1/86
2128,578547.69,10/1/86
1692,302383.04,11/1/86
2342,1003286.05,12/1/86
793,369438.61,1/1/87
2460,868245.75,2/1/87
1887,439345.77,3/1/87
1234,135651.85,4/1/87
1830,383881.19,5/1/87
1471,505801.77,6/1/87
1392,1343107.5,7/1/87
1474,437543.12,8/1/87
820,22187.26,9/1/87
1488,557641.06,10/1/87
1168,256339.25,11/1/87
1689,1485721.02,12/1/87
498,173253.23,1/1/88
2823,452726.54,2/1/88
2053,125463.3,3/1/88
2766,655144.8,4/1/88
3093,523861.8,5/1/88
3198,209403.36,6/1/88
2501,957596.02,7/1/88
3252,746261.44,8/1/88
1799,299074.47,9/1/88
2196,436534.09,10/1/88
2101,330359.67,11/1/88
1079,837357.05,12/1/88
3849,749811.93,1/1/89
2782,990592.29,2/1/89
3543,655098.36,3/1/89
4424,215847.53,4/1/89
4416,400765.55,5/1/89
5792,177040.77,6/1/89
4973,614317.03,7/1/89
3864,913774.59,8/1/89
4175,472684.62,9/1/89
6188,567367.65,10/1/89
4081,971811,11/1/89
3786,1206837.65,12/1/89
4967,1587314.18,1/1/90
4006,958572.61,2/1/90
6670,683557.51,3/1/90
